image_id,template_id,det_id,x,y,theta_deg,scale,score,method_name,runtime_ms
0001,tempA,0,220.01414489746094,159.90655517578125,-10.048487385023149,1.003098348227253,0.9154032468795776,sharp_v1,287.23812103271484
0002,tempA,0,320.39501953125,259.96453857421875,5.026074666051623,1.1037839022592435,0.9526729583740234,sharp_v1,234.37237739562988
0003,tempA,0,259.971923828125,179.93577575683594,0.03645631830774357,0.9009740447945669,0.900918185710907,sharp_v1,270.2767848968506
0004,tempA,0,0.0,0.0,0.0,0.0,0.0,sharp_v1,0.0
0005,tempA,0,318.9786071777344,200.1803741455078,-11.354544134005826,1.01656303351805,0.9474623799324036,sharp_v1,246.34122848510742
0006,tempA,0,199.92449951171875,250.25013732910156,20.079279731721382,1.20382738296175,1.0,sharp_v1,200.46401023864746
0007,tempA,0,0.0,0.0,0.0,0.0,0.0,sharp_v1,0.0
0008,tempA,0,120.4097671508789,200.0718994140625,10.077934361304083,1.0486738148429045,1.0,sharp_v1,197.47114181518555
0009,tempA,0,259.7408142089844,279.9490966796875,-17.90707705297983,0.8495939009456805,1.0,sharp_v1,188.49611282348633
0010,tempA,0,179.964111328125,150.0065155029297,8.062659102201897,1.101599494216082,1.0,sharp_v1,219.41423416137695
